"Time","X4th.Ventricle"
-17.95,2360.9566538311
-17.94,2360.96292405184
-17.93,2360.96921788002
-17.92,2360.9755117082
-17.91,2360.98180553638
-17.9,2360.98809936457
-17.89,2360.99439319275
-17.88,2361.00068702093
-17.87,2361.00698084911
-17.86,2361.01327467729
-17.85,2361.01956850547
-17.84,2361.0259008482
-17.83,2361.03223869323
-17.82,2361.03857653825
-17.81,2361.04491438328
-17.8,2361.0512522283
-17.79,2361.05759007333
-17.78,2361.06392791836
-17.77,2361.07026576338
-17.76,2361.07660360841
-17.75,2361.0829542514
-17.74,2361.08933634925
-17.73,2361.09571844709
-17.72,2361.10210054493
-17.71,2361.10848264278
-17.7,2361.11486474062
-17.69,2361.12124683846
-17.68,2361.12762893631
-17.67,2361.13401103415
-17.66,2361.14039313199
-17.65,2361.14680652401
-17.64,2361.15323311129
-17.63,2361.15965969857
-17.62,2361.16608628585
-17.61,2361.17251287313
-17.6,2361.17893946041
-17.59,2361.18536604769
-17.58,2361.19179263497
-17.57,2361.19821922225
-17.56,2361.20465106995
-17.55,2361.21112238394
-17.54,2361.21759369792
-17.53,2361.2240650119
-17.52,2361.23053632588
-17.51,2361.23700763986
-17.5,2361.24347895384
-17.49,2361.24995026783
-17.48,2361.25642158181
-17.47,2361.26289289579
-17.46,2361.26938812276
-17.45,2361.27590440135
-17.44,2361.28242067994
-17.43,2361.28893695853
-17.42,2361.29545323711
-17.41,2361.3019695157
-17.4,2361.30848579429
-17.39,2361.31500207288
-17.38,2361.32151835147
-17.37,2361.32803463005
-17.36,2361.33459367189
-17.35,2361.34115515363
-17.34,2361.34771663536
-17.33,2361.3542781171
-17.32,2361.36083959883
-17.31,2361.36740108057
-17.3,2361.3739625623
-17.29,2361.38052404404
-17.28,2361.38708552577
-17.27,2361.39366337717
-17.26,2361.40027030123
-17.25,2361.40687722529
-17.24,2361.41348414934
-17.23,2361.4200910734
-17.22,2361.42669799746
-17.21,2361.43330492151
-17.2,2361.43991184557
-17.19,2361.44651876963
-17.18,2361.45312569368
-17.17,2361.45976799558
-17.16,2361.46642060177
-17.15,2361.47307320795
-17.14,2361.47972581413
-17.13,2361.48637842032
-17.12,2361.4930310265
-17.11,2361.49968363268
-17.1,2361.50633623887
-17.09,2361.51298884505
-17.08,2361.5196501141
-17.07,2361.52634864284
-17.06,2361.53304717158
-17.05,2361.53974570031
-17.04,2361.54644422905
-17.03,2361.55314275779
-17.02,2361.55984128653
-17.01,2361.56653981527
-17,2361.57323834401
-16.99,2361.57993687275
-16.98,2361.58666323105
-16.97,2361.5934079234
-16.96,2361.60015261575
-16.95,2361.6068973081
-16.94,2361.61364200044
-16.93,2361.62038669279
-16.92,2361.62713138514
-16.91,2361.63387607748
-16.9,2361.64062076983
-16.89,2361.64736625348
-16.88,2361.65415735111
-16.87,2361.66094844873
-16.86,2361.66773954636
-16.85,2361.67453064398
-16.84,2361.68132174161
-16.83,2361.68811283923
-16.82,2361.69490393686
-16.81,2361.70169503448
-16.8,2361.70848613211
-16.79,2361.71529734685
-16.78,2361.72213509204
-16.77,2361.72897283722
-16.76,2361.73581058241
-16.75,2361.74264832759
-16.74,2361.74948607278
-16.73,2361.75632381797
-16.72,2361.76316156315
-16.71,2361.76999930834
-16.7,2361.77683705353
-16.69,2361.78371444287
-16.68,2361.79059907851
-16.67,2361.79748371416
-16.66,2361.8043683498
-16.65,2361.81125298544
-16.64,2361.81813762108
-16.63,2361.82502225672
-16.62,2361.83190689236
-16.61,2361.83879152801
-16.6,2361.84568840287
-16.59,2361.85262017247
-16.58,2361.85955194207
-16.57,2361.86648371166
-16.56,2361.87341548126
-16.55,2361.88034725086
-16.54,2361.88727902046
-16.53,2361.89421079005
-16.52,2361.90114255965
-16.51,2361.90807432925
-16.5,2361.91503802571
-16.49,2361.92201717337
-16.48,2361.92899632102
-16.47,2361.93597546868
-16.46,2361.94295461633
-16.45,2361.94993376398
-16.44,2361.95691291164
-16.43,2361.96389205929
-16.42,2361.97087120695
-16.41,2361.97785454923
-16.4,2361.98488131964
-16.39,2361.99190809005
-16.38,2361.99893486046
-16.37,2362.00596163087
-16.36,2362.01298840128
-16.35,2362.02001517169
-16.34,2362.0270419421
-16.33,2362.03406871252
-16.32,2362.04109548293
-16.31,2362.04814629679
-16.3,2362.05522093525
-16.29,2362.06229557371
-16.28,2362.06937021217
-16.27,2362.07644485063
-16.26,2362.08351948909
-16.25,2362.09059412755
-16.24,2362.09766876601
-16.23,2362.10474340448
-16.22,2362.11181804294
-16.21,2362.11893677741
-16.2,2362.12605952981
-16.19,2362.1331822822
-16.18,2362.14030503459
-16.17,2362.14742778699
-16.16,2362.15455053938
-16.15,2362.16167329178
-16.14,2362.16879604417
-16.13,2362.17591879656
-16.12,2362.18305754161
-16.11,2362.1902286544
-16.1,2362.1973997672
-16.09,2362.20457087999
-16.08,2362.21174199278
-16.07,2362.21891310558
-16.06,2362.22608421837
-16.05,2362.23325533117
-16.04,2362.24042644396
-16.03,2362.24759755675
-16.02,2362.25480487738
-16.01,2362.26202459762
-16,2362.26924431786
-15.99,2362.2764640381
-15.98,2362.28368375834
-15.97,2362.29090347859
-15.96,2362.29812319883
-15.95,2362.30534291907
-15.94,2362.31256263931
-15.93,2362.31979013282
-15.92,2362.32705870813
-15.91,2362.33432728344
-15.9,2362.34159585876
-15.89,2362.34886443407
-15.88,2362.35613300939
-15.87,2362.3634015847
-15.86,2362.37067016002
-15.85,2362.37793873533
-15.84,2362.38520731065
-15.83,2362.39250403756
-15.82,2362.39982171615
-15.81,2362.40713939473
-15.8,2362.41445707331
-15.79,2362.42177475189
-15.78,2362.42909243048
-15.77,2362.43641010906
-15.76,2362.44372778764
-15.75,2362.45104546623
-15.74,2362.45836314481
-15.73,2362.4657295595
-15.72,2362.47309659012
-15.71,2362.48046362073
-15.7,2362.48783065135
-15.69,2362.49519768196
-15.68,2362.50256471257
-15.67,2362.50993174319
-15.66,2362.5172987738
-15.65,2362.52466580442
-15.64,2362.53205276116
-15.63,2362.53946939313
-15.62,2362.54688602511
-15.61,2362.55430265708
-15.6,2362.56171928905
-15.59,2362.56913592102
-15.58,2362.57655255299
-15.57,2362.58396918496
-15.56,2362.59138581693
-15.55,2362.5988024489
-15.54,2362.60625975606
-15.53,2362.61372623927
-15.52,2362.62119272248
-15.51,2362.62865920569
-15.5,2362.6361256889
-15.49,2362.64359217211
-15.48,2362.65105865533
-15.47,2362.65852513854
-15.46,2362.66599162175
-15.45,2362.6734696352
-15.44,2362.68098622009
-15.43,2362.68850280498
-15.42,2362.69601938987
-15.41,2362.70353597476
-15.4,2362.71105255964
-15.39,2362.71856914453
-15.38,2362.72608572942
-15.37,2362.73360231431
-15.36,2362.7411188992
-15.35,2362.74866792844
-15.34,2362.75623486599
-15.33,2362.76380180355
-15.32,2362.7713687411
-15.31,2362.77893567865
-15.3,2362.7865026162
-15.29,2362.79406955375
-15.28,2362.8016364913
-15.27,2362.80920342885
-15.26,2362.81677332918
-15.25,2362.82439087092
-15.24,2362.83200841266
-15.23,2362.8396259544
-15.22,2362.84724349614
-15.21,2362.85486103788
-15.2,2362.86247857962
-15.19,2362.87009612136
-15.18,2362.8777136631
-15.17,2362.88533120484
-15.16,2362.89297278907
-15.15,2362.90064118707
-15.14,2362.90830958507
-15.13,2362.91597798306
