"Time","Left.Thalamus.Proper"
1.98,6282.85997766341
1.99,6282.80405529212
2,6282.7482040132
2.01,6282.69239713307
2.02,6282.63659025295
2.03,6282.58078337283
2.04,6282.52497649271
2.05,6282.46916961258
2.06,6282.41336273246
2.07,6282.35755585234
2.08,6282.30174897222
2.09,6282.24594554589
2.1,6282.19025467763
2.11,6282.13456380938
2.12,6282.07887294112
2.13,6282.02318207287
2.14,6281.96749120461
2.15,6281.91180033636
2.16,6281.8561094681
2.17,6281.80041859984
2.18,6281.74472773159
2.19,6281.6890885992
2.2,6281.63351425926
2.21,6281.57793991933
2.22,6281.52236557939
2.23,6281.46679123946
2.24,6281.41121689953
2.25,6281.35564255959
2.26,6281.30006821966
2.27,6281.24449387973
2.28,6281.18891953979
2.29,6281.13344564197
2.3,6281.07798834256
2.31,6281.02253104315
2.32,6280.96707374374
2.33,6280.91161644433
2.34,6280.85615914492
2.35,6280.80070184551
2.36,6280.7452445461
2.37,6280.68978724669
2.38,6280.63436196608
2.39,6280.57902221512
2.4,6280.52368246417
2.41,6280.46834271322
2.42,6280.41300296227
2.43,6280.35766321131
2.44,6280.30232346036
2.45,6280.24698370941
2.46,6280.19164395846
2.47,6280.1363042075
2.48,6280.08104551039
2.49,6280.02582381155
2.5,6279.97060211271
2.51,6279.91538041387
2.52,6279.86015871503
2.53,6279.8049370162
2.54,6279.74971531736
2.55,6279.69449361852
2.56,6279.63927191968
2.57,6279.58406217075
2.58,6279.5289590234
2.59,6279.47385587604
2.6,6279.41875272868
2.61,6279.36364958132
2.62,6279.30854643397
2.63,6279.25344328661
2.64,6279.19834013925
2.65,6279.14323699189
2.66,6279.08813384454
2.67,6279.03309200674
2.68,6278.97810790593
2.69,6278.92312380512
2.7,6278.86813970431
2.71,6278.8131556035
2.72,6278.75817150269
2.73,6278.70318740188
2.74,6278.64820330107
2.75,6278.59321920026
2.76,6278.53823509945
2.77,6278.48336207397
2.78,6278.42849751046
2.79,6278.37363294695
2.8,6278.31876838344
2.81,6278.26390381993
2.82,6278.20903925642
2.83,6278.15417469291
2.84,6278.0993101294
2.85,6278.04444556589
2.86,6277.98962222048
2.87,6277.93487768071
2.88,6277.88013314093
2.89,6277.82538860115
2.9,6277.77064406137
2.91,6277.7158995216
2.92,6277.66115498182
2.93,6277.60641044204
2.94,6277.55166590226
2.95,6277.49692136248
2.96,6277.44226812057
2.97,6277.38764408662
2.98,6277.33302005267
2.99,6277.27839601873
3,6277.22377198478
3.01,6277.16914795083
3.02,6277.11452391689
3.03,6277.05989988294
