"Time","P_D1D2"
-38.36,-231383.134737896
-38.35,-231286.914582816
-38.34,-231190.694427736
-38.33,-231094.474272656
-38.32,-230998.254117576
-38.31,-230902.033962497
-38.3,-230805.813807417
-38.29,-230709.593652337
-38.28,-230613.373497257
-38.27,-230517.153342177
-38.26,-230420.726487503
-38.25,-230324.206499495
-38.24,-230227.686511488
-38.23,-230131.166523481
-38.22,-230034.646535474
-38.21,-229938.126547467
-38.2,-229841.606559459
-38.19,-229745.086571452
-38.18,-229648.566583445
-38.17,-229552.046595438
-38.16,-229455.52660743
-38.15,-229358.841532923
-38.14,-229262.021377365
-38.13,-229165.201221807
-38.12,-229068.381066249
-38.11,-228971.560910691
-38.1,-228874.740755133
-38.09,-228777.920599576
-38.08,-228681.100444018
-38.07,-228584.28028846
-38.06,-228487.460132902
-38.05,-228390.639977344
-38.04,-228293.696442777
-38.03,-228196.575787728
-38.02,-228099.45513268
-38.01,-228002.334477631
-38,-227905.213822583
-37.99,-227808.093167534
-37.98,-227710.972512486
-37.97,-227613.851857437
-37.96,-227516.731202389
-37.95,-227419.61054734
-37.94,-227322.489892292
-37.93,-227225.287659002
-37.92,-227127.866175222
-37.91,-227030.444691441
-37.9,-226933.02320766
-37.89,-226835.60172388
-37.88,-226738.180240099
-37.87,-226640.758756318
-37.86,-226543.337272537
-37.85,-226445.915788757
-37.84,-226348.494304976
-37.83,-226251.072821195
-37.82,-226153.611652092
-37.81,-226055.88901305
-37.8,-225958.166374008
-37.79,-225860.443734966
-37.78,-225762.721095924
-37.77,-225664.998456881
-37.76,-225567.275817839
-37.75,-225469.553178797
-37.74,-225371.830539755
-37.73,-225274.107900713
-37.72,-225176.385261671
-37.71,-225078.662622628
-37.7,-224980.640803136
-37.69,-224882.61668503
-37.68,-224784.592566924
-37.67,-224686.568448818
-37.66,-224588.544330712
-37.65,-224490.520212606
-37.64,-224392.4960945
-37.63,-224294.471976394
-37.62,-224196.447858288
-37.61,-224098.423740182
-37.6,-224000.399622076
