"Time","Left.Amygdala"
32.28,809.251965423446
32.29,809.222727603943
32.3,809.19348188529
32.31,809.164236166636
32.32,809.134990447983
32.33,809.105744729329
32.34,809.076499010675
32.35,809.047253292022
32.36,809.018007573368
32.37,808.988761854714
32.38,808.959516136061
32.39,808.930255712218
32.4,808.900993988039
32.41,808.871732263859
32.42,808.84247053968
32.43,808.8132088155
32.44,808.783947091321
32.45,808.754685367141
32.46,808.725423642961
32.47,808.696161918782
32.48,808.666894844654
32.49,808.63761705276
32.5,808.608339260866
32.51,808.579061468972
32.52,808.549783677078
32.53,808.520505885184
32.54,808.49122809329
32.55,808.461950301396
32.56,808.432672509502
32.57,808.403394717608
32.58,808.374104873892
32.59,808.344810952002
32.6,808.315517030113
32.61,808.286223108223
32.62,808.256929186333
32.63,808.227635264443
32.64,808.198341342553
32.65,808.169047420663
32.66,808.139753498773
32.67,808.110456963857
32.68,808.081146849597
32.69,808.051836735336
32.7,808.022526621076
32.71,807.993216506816
32.72,807.963906392555
32.73,807.934596278295
32.74,807.905286164035
32.75,807.875976049775
32.76,807.846665935514
32.77,807.817346465301
32.78,807.788020096202
32.79,807.758693727103
32.8,807.729367358004
32.81,807.700040988905
32.82,807.670714619806
32.83,807.641388250707
32.84,807.612061881608
32.85,807.58273551251
32.86,807.553409143411
32.87,807.524066623589
32.88,807.494723937089
32.89,807.46538125059
32.9,807.43603856409
32.91,807.406695877591
32.92,807.377353191091
32.93,807.348010504591
32.94,807.318667818092
32.95,807.289325131592
32.96,807.259975827698
32.97,807.230616761141
32.98,807.201257694584
32.99,807.171898628027
33,807.14253956147
33.01,807.113180494913
33.02,807.083821428356
33.03,807.054462361799
33.04,807.025103295242
33.05,806.995744228685
33.06,806.966371708679
33.07,806.936996199314
33.08,806.907620689948
33.09,806.878245180582
33.1,806.848869671217
33.11,806.819494161851
33.12,806.790118652486
33.13,806.76074314312
33.14,806.731367633755
33.15,806.701988288438
33.16,806.672596273418
33.17,806.643204258397
33.18,806.613812243376
33.19,806.584420228355
33.2,806.555028213335
33.21,806.525636198314
33.22,806.496244183293
33.23,806.466852168272
33.24,806.437460153252
33.25,806.408057424846
33.26,806.378648841228
33.27,806.34924025761
33.28,806.319831673992
33.29,806.290423090374
33.3,806.261014506756
33.31,806.231605923138
33.32,806.202197339521
33.33,806.172788755903
33.34,806.143379160857
33.35,806.113953945603
33.36,806.08452873035
33.37,806.055103515097
33.38,806.025678299844
33.39,805.996253084591
33.4,805.966827869338
33.41,805.937402654085
33.42,805.907977438831
