"Time","Left.Inf.Lat.Vent"
-21.45,1408.36016193972
-21.44,1408.43864348401
-21.43,1408.51712502831
-21.42,1408.59560657261
-21.41,1408.6740881169
-21.4,1408.7525696612
-21.39,1408.83112258994
-21.38,1408.9097340691
-21.37,1408.98834554825
-21.36,1409.06695702741
-21.35,1409.14556850656
-21.34,1409.22417998572
-21.33,1409.30279146488
-21.32,1409.38140294403
-21.31,1409.46001442319
-21.3,1409.53862590234
-21.29,1409.61736265812
-21.28,1409.69610414728
-21.27,1409.77484563645
-21.26,1409.85358712562
-21.25,1409.93232861479
-21.24,1410.01107010396
-21.23,1410.08981159312
-21.22,1410.16855308229
-21.21,1410.24729457146
-21.2,1410.32608520638
-21.19,1410.40495678038
-21.18,1410.48382835437
-21.17,1410.56269992837
-21.16,1410.64157150236
-21.15,1410.72044307636
-21.14,1410.79931465035
-21.13,1410.87818622435
-21.12,1410.95705779834
-21.11,1411.03592937234
-21.1,1411.11490403294
-21.09,1411.19390576624
-21.08,1411.27290749953
-21.07,1411.35190923283
-21.06,1411.43091096613
-21.05,1411.50991269943
-21.04,1411.58891443273
-21.03,1411.66791616602
-21.02,1411.74691789932
-21.01,1411.82594648793
-21,1411.90507845466
-20.99,1411.9842104214
-20.98,1412.06334238813
-20.97,1412.14247435487
-20.96,1412.2216063216
-20.95,1412.30073828834
-20.94,1412.37987025508
-20.93,1412.45900222181
-20.92,1412.53813418855
-20.91,1412.6173469998
-20.9,1412.69660927377
-20.89,1412.77587154773
-20.88,1412.8551338217
-20.87,1412.93439609567
-20.86,1413.01365836963
-20.85,1413.0929206436
-20.84,1413.17218291757
-20.83,1413.25144519153
-20.82,1413.33071197932
-20.81,1413.41010463397
-20.8,1413.48949728862
-20.79,1413.56888994327
-20.78,1413.64828259792
-20.77,1413.72767525257
-20.76,1413.80706790722
-20.75,1413.88646056187
-20.74,1413.96585321652
-20.73,1414.04524587117
-20.72,1414.12469707688
-20.71,1414.20422018532
-20.7,1414.28374329376
-20.69,1414.3632664022
-20.68,1414.44278951065
-20.67,1414.52231261909
-20.66,1414.60183572753
-20.65,1414.68135883597
-20.64,1414.76088194441
-20.63,1414.84040505286
-20.62,1414.92004080985
-20.61,1414.99969444485
-20.6,1415.07934807984
-20.59,1415.15900171484
-20.58,1415.23865534984
-20.57,1415.31830898484
-20.56,1415.39796261984
-20.55,1415.47761625484
-20.54,1415.55726988984
-20.53,1415.63695973174
-20.52,1415.71674396572
-20.51,1415.7965281997
-20.5,1415.87631243367
-20.49,1415.95609666765
-20.48,1416.03588090162
-20.47,1416.1156651356
-20.46,1416.19544936957
-20.45,1416.27523360355
-20.44,1416.35501783752
-20.43,1416.43489242308
-20.42,1416.5148073281
-20.41,1416.59472223313
-20.4,1416.67463713815
-20.39,1416.75455204318
-20.38,1416.83446694821
-20.37,1416.91438185323
-20.36,1416.99429675826
-20.35,1417.07421166328
-20.34,1417.1541403811
-20.33,1417.2341860289
-20.32,1417.31423167671
-20.31,1417.39427732451
-20.3,1417.47432297231
-20.29,1417.55436862012
-20.28,1417.63441426792
-20.27,1417.71445991572
-20.26,1417.79450556353
-20.25,1417.87455121133
-20.24,1417.95466486343
-20.23,1418.03484132539
-20.22,1418.11501778735
-20.21,1418.1951942493
-20.2,1418.27537071126
-20.19,1418.35554717322
-20.18,1418.43572363518
-20.17,1418.51590009714
-20.16,1418.5960765591
-20.15,1418.67625302106
-20.14,1418.75655173763
-20.13,1418.83685908477
-20.12,1418.91716643192
-20.11,1418.99747377906
-20.1,1419.07778112621
-20.09,1419.15808847336
-20.08,1419.2383958205
-20.07,1419.31870316765
-20.06,1419.39901051479
-20.05,1419.47936346936
-20.04,1419.55980177237
-20.03,1419.64024007538
-20.02,1419.7206783784
-20.01,1419.80111668141
-20,1419.88155498442
-19.99,1419.96199328744
-19.98,1420.04243159045
-19.97,1420.12286989346
-19.96,1420.20330819648
-19.95,1420.28384640319
-19.94,1420.3644157324
-19.93,1420.44498506161
-19.92,1420.52555439082
-19.91,1420.60612372003
-19.9,1420.68669304924
-19.89,1420.76726237845
-19.88,1420.84783170766
-19.87,1420.92840103687
-19.86,1421.00899352774
-19.85,1421.08969395313
-19.84,1421.17039437851
-19.83,1421.2510948039
-19.82,1421.33179522928
-19.81,1421.41249565467
-19.8,1421.49319608005
-19.79,1421.57389650544
-19.78,1421.65459693082
-19.77,1421.73529735621
-19.76,1421.81607528517
-19.75,1421.89690687636
-19.74,1421.97773846754
-19.73,1422.05857005873
-19.72,1422.13940164992
-19.71,1422.2202332411
-19.7,1422.30106483229
-19.69,1422.38189642348
-19.68,1422.46272801466
-19.67,1422.54356027359
-19.66,1422.62452309985
-19.65,1422.70548592611
-19.64,1422.78644875237
-19.63,1422.86741157863
-19.62,1422.94837440489
-19.61,1423.02933723115
-19.6,1423.11030005741
-19.59,1423.19126288366
-19.58,1423.27222570992
-19.57,1423.35324359113
-19.56,1423.43433772138
-19.55,1423.51543185163
-19.54,1423.59652598188
-19.53,1423.67762011213
-19.52,1423.75871424238
-19.51,1423.83980837263
-19.5,1423.92090250288
-19.49,1424.00199663313
-19.48,1424.08309076338
-19.47,1424.16429439258
-19.46,1424.24551989538
-19.45,1424.32674539818
-19.44,1424.40797090099
