"Time","Right.Amygdala"
5.89,924.164125488068
5.9,924.141567218941
5.91,924.119008949812
5.92,924.096450680685
5.93,924.073897630412
5.94,924.051348088509
5.95,924.028798546606
5.96,924.006249004703
5.97,923.983699462799
5.98,923.961149920896
5.99,923.938600378993
6,923.91605083709
6.01,923.893501295187
6.02,923.870951859168
6.03,923.848410994325
6.04,923.825870129481
6.05,923.803329264638
6.06,923.780788399795
6.07,923.758247534952
6.08,923.735706670109
6.09,923.713165805266
6.1,923.690624940423
6.11,923.668084075579
6.12,923.645546889341
6.13,923.623014651448
6.14,923.600482413556
6.15,923.577950175664
6.16,923.555417937771
6.17,923.532885699879
6.18,923.510353461986
6.19,923.487821224094
6.2,923.465288986201
6.21,923.442756748309
6.22,923.420231720277
6.23,923.397708059281
6.24,923.375184398285
6.25,923.352660737288
6.26,923.330137076293
6.27,923.307613415296
6.28,923.2850897543
6.29,923.262566093304
6.3,923.240042432308
6.31,923.217520944134
6.32,923.195005810035
6.33,923.172490675935
6.34,923.149975541836
6.35,923.127460407737
6.36,923.104945273637
6.37,923.082430139538
6.38,923.059915005439
6.39,923.037399871339
6.4,923.01488473724
6.41,922.992375274437
6.42,922.969868617289
6.43,922.947361960141
6.44,922.924855302993
6.45,922.902348645845
6.46,922.879841988697
6.47,922.857335331549
6.48,922.834828674401
6.49,922.812322017253
6.5,922.789816061498
6.51,922.76731783141
6.52,922.744819601322
6.53,922.722321371234
6.54,922.699823141146
6.55,922.677324911058
6.56,922.65482668097
6.57,922.632328450882
6.58,922.609830220794
6.59,922.587331990706
6.6,922.564837927756
6.61,922.54234807489
6.62,922.519858222024
6.63,922.497368369159
6.64,922.474878516293
6.65,922.452388663427
6.66,922.429898810561
6.67,922.407408957696
6.68,922.38491910483
6.69,922.362429251964
6.7,922.339946990744
6.71,922.317465465316
6.72,922.294983939888
6.73,922.27250241446
6.74,922.250020889032
6.75,922.227539363604
6.76,922.205057838176
6.77,922.182576312749
6.78,922.160094787321
6.79,922.137615959167
6.8,922.115142711446
6.81,922.092669463724
6.82,922.070196216003
6.83,922.047722968282
6.84,922.02524972056
6.85,922.002776472839
6.86,921.980303225117
6.87,921.957829977396
6.88,921.935356729675
6.89,921.912889571135
6.9,921.890424551442
6.91,921.867959531748
6.92,921.845494512055
6.93,921.823029492361
6.94,921.800564472667
6.95,921.778099452974
6.96,921.75563443328
6.97,921.733169413587
6.98,921.710705655488
6.99,921.688248814196
7,921.665791972903
7.01,921.643335131611
7.02,921.620878290319
7.03,921.598421449027
7.04,921.575964607735
7.05,921.553507766442
7.06,921.53105092515
7.07,921.508594083858
7.08,921.486141863519
7.09,921.463693151054
7.1,921.441244438589
7.11,921.418795726124
7.12,921.396347013658
7.13,921.373898301193
7.14,921.351449588728
7.15,921.329000876263
7.16,921.306552163798
7.17,921.284103451333
7.18,921.261662678162
7.19,921.239222045002
7.2,921.216781411841
7.21,921.19434077868
7.22,921.171900145519
7.23,921.149459512358
7.24,921.127018879198
7.25,921.104578246037
7.26,921.082137612876
7.27,921.059700166565
7.28,921.037267563237
7.29,921.01483495991
7.3,920.992402356582
7.31,920.969969753254
7.32,920.947537149926
7.33,920.925104546599
7.34,920.902671943271
7.35,920.880239339943
7.36,920.857806736615
7.37,920.835380606056
7.38,920.812955983141
7.39,920.790531360226
7.4,920.768106737311
7.41,920.745682114396
7.42,920.723257491481
7.43,920.700832868566
7.44,920.678408245651
7.45,920.655983622735
7.46,920.633560786586
7.47,920.611144094714
7.48,920.588727402842
7.49,920.56631071097
7.5,920.543894019098
7.51,920.521477327226
