"Time","Brain.Stem"
29.65,18917.2466655848
29.66,18917.2868603321
29.67,18917.3270550794
29.68,18917.3672498267
29.69,18917.407444574
29.7,18917.4477889334
29.71,18917.4884497638
29.72,18917.5291105943
29.73,18917.5697714247
29.74,18917.6104322552
29.75,18917.6510930856
29.76,18917.6917539161
29.77,18917.7324147465
29.78,18917.773075577
29.79,18917.8137364074
29.8,18917.8547447411
29.81,18917.8958782335
29.82,18917.937011726
29.83,18917.9781452185
29.84,18918.019278711
29.85,18918.0604122034
29.86,18918.1015456959
29.87,18918.1426791884
29.88,18918.1838126808
29.89,18918.2250177922
29.9,18918.2666306292
29.91,18918.3082434662
29.92,18918.3498563031
29.93,18918.3914691401
29.94,18918.4330819771
29.95,18918.474694814
29.96,18918.516307651
29.97,18918.557920488
29.98,18918.599533325
29.99,18918.6414201538
30,18918.6835191231
30.01,18918.7256180925
30.02,18918.7677170619
30.03,18918.8098160312
30.04,18918.8519150006
30.05,18918.8940139699
30.06,18918.9361129393
30.07,18918.9782119086
30.08,18919.020310878
30.09,18919.0628919402
30.1,18919.105483937
30.11,18919.1480759338
30.12,18919.1906679307
30.13,18919.2332599275
30.14,18919.2758519244
30.15,18919.3184439212
30.16,18919.361035918
30.17,18919.4036279149
30.18,18919.4464159376
30.19,18919.4895079661
30.2,18919.5325999946
30.21,18919.5756920231
30.22,18919.6187840516
30.23,18919.6618760801
30.24,18919.7049681086
30.25,18919.7480601371
30.26,18919.7911521656
30.27,18919.8342441941
30.28,18919.8777451008
30.29,18919.9213442761
30.3,18919.9649434513
30.31,18920.0085426266
30.32,18920.0521418019
30.33,18920.0957409771
30.34,18920.1393401524
30.35,18920.1829393276
30.36,18920.2265385029
30.37,18920.270251066
30.38,18920.3143646161
30.39,18920.3584781661
30.4,18920.4025917161
30.41,18920.4467052661
30.42,18920.4908188161
30.43,18920.5349323661
30.44,18920.5790459161
30.45,18920.6231594661
30.46,18920.6672730161
30.47,18920.711717671
30.48,18920.7563529386
30.49,18920.8009882061
30.5,18920.8456234737
30.51,18920.8902587412
30.52,18920.9348940088
30.53,18920.9795292763
30.54,18921.0241645439
30.55,18921.0687998114
30.56,18921.1134609291
30.57,18921.1586253738
30.58,18921.2037898185
30.59,18921.2489542632
30.6,18921.2941187079
30.61,18921.3392831526
30.62,18921.3844475974
30.63,18921.4296120421
30.64,18921.4747764868
30.65,18921.5199409315
30.66,18921.5653539237
30.67,18921.611055124
30.68,18921.6567563243
30.69,18921.7024575246
30.7,18921.7481587249
30.71,18921.7938599252
30.72,18921.8395611255
30.73,18921.8852623259
30.74,18921.9309635262
30.75,18921.9766647265
30.76,18922.0228435558
30.77,18922.0690892111
30.78,18922.1153348663
30.79,18922.1615805215
30.8,18922.2078261768
30.81,18922.254071832
30.82,18922.3003174873
30.83,18922.3465631425
30.84,18922.3928087977
30.85,18922.4392154233
30.86,18922.4860133559
30.87,18922.5328112884
30.88,18922.5796092209
30.89,18922.6264071534
30.9,18922.6732050859
30.91,18922.7200030184
30.92,18922.7668009509
30.93,18922.8135988834
30.94,18922.860396816
30.95,18922.9075900835
30.96,18922.9549482408
30.97,18923.002306398
30.98,18923.0496645553
30.99,18923.0970227125
31,18923.1443808698
31.01,18923.1917390271
31.02,18923.2390971843
31.03,18923.2864553416
31.04,18923.3338816254
31.05,18923.3818080822
31.06,18923.429734539
31.07,18923.4776609958
31.08,18923.5255874526
31.09,18923.5735139094
31.1,18923.6214403662
31.11,18923.669366823
31.12,18923.7172932798
31.13,18923.7652197366
31.14,18923.8134540946
31.15,18923.8619570553
31.16,18923.910460016
31.17,18923.9589629767
31.18,18924.0074659374
31.19,18924.0559688981
31.2,18924.1044718587
31.21,18924.1529748194
31.22,18924.2014777801
31.23,18924.2499807408
31.24,18924.2990382989
31.25,18924.3481260997
31.26,18924.3972139004
31.27,18924.4463017011
31.28,18924.4953895018
31.29,18924.5444773025
31.3,18924.5935651032
31.31,18924.6426529039
